id,match,date,team_a,team_b,shooting_team,half,minute,score_shoot_goals,score_shoot_points,score_opp_goals,score_opp_points,score_diff,set_piece_type,shooter,position_zone,attempt_type,striking_side,under_pressure,outcome,notes
"1","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","3","0","1","0","1","0","free","13","F3CL","direct","dominant","none","point",""
"2","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","11","0","2","0","4","-2","free","13","F3CL","direct","dominant","none","point",""
"3","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","14","0","5","0","4","1","free","","F5R","long","dominant","none","retained",""
"4","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","16","0","4","0","6","-2","free","13","F3R","direct","dominant","none","point",""
"5","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","18","0","5","0","7","-2","sideline","","F5L","short","dominant","none","retained",""
"6","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","18","0","5","0","7","-2","free","","F5L","long","dominant","none","lost",""
"7","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","20","0","7","0","6","1","free","13","F3CR","direct","dominant","none","point",""
"8","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","25","0","11","0","8","3","free","13","F3CR","direct","dominant","none","point",""
"9","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","26","0","12","0","8","4","free","12","F5CR","direct","dominant","none","point",""
"10","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","27","0","8","0","13","-5","free","13","F3R","direct","dominant","none","point",""
"11","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","32","0","11","0","16","-5","free","13","F3CL","direct","dominant","none","point",""
"12","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","34","0","12","0","16","-4","free","3","F5R","direct","dominant","none","short","Right side just inside Cork 45 - Tipp 3 plays a long ball in for a point that drops short. Ball ends up in the back of the net but is called back for a square ball and Cork get a free."
"13","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","34","0","16","0","12","4","free","","F5CL","long","dominant","none","retained",""
"14","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","36","1","16","0","13","6","free","13","F4CL","direct","dominant","none","wide",""
"15","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","39","0","15","1","16","-4","free","","F5L","long","dominant","none","lost",""
"16","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","39","1","16","0","15","4","free","","F5CR","long","dominant","none","lost",""
"17","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","44","0","18","1","16","-1","free","13","F3CR","direct","dominant","none","point",""
"18","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","45","0","18","1","16","-1","sideline","","F5R","short","dominant","none","lost",""
"19","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","52","1","19","1","17","2","free","13","F5L","direct","dominant","none","point",""
"20","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","55","1","20","1","17","3","free","13","F2CR","goal","dominant","none","goal","Tipp 13 scores a goal from a penalty in 55th minute"
"21","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","57","2","21","1","17","7","free","","F5CL","long","dominant","none","lost",""
"22","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","59","2","21","1","17","7","free","13","F3R","direct","dominant","none","point",""
"23","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","65","1","17","3","23","-12","free","","F5CR","direct","dominant","none","short",""
"24","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","67","1","18","3","23","-11","sideline","","F5R","long","dominant","none","lost",""
"25","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","68","3","23","1","18","11","free","13","F5CR","direct","dominant","none","point",""
"26","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","68","1","18","3","24","-12","free","9","F4L","long","dominant","none","lost",""
"27","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","69","3","24","1","18","12","free","","F5L","short","dominant","none","retained",""
"28","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","70","1","18","3","25","-13","sideline","","F4L","short","dominant","none","retained",""
"29","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","70","1","18","3","25","-13","sideline","","F3L","long","dominant","none","retained",""
"30","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","72","1","18","3","25","-13","free","","F2CR","goal","dominant","none","saved",""
"31","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","72","1","18","3","25","-13","sideline","","F2L","short","dominant","none","retained",""
"32","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","74","3","25","1","18","13","free","","F4R","direct","dominant","none","point",""
